mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
152,-269.1999999999982,0,0.0,269.7307189542472,72755.0473202603,0.0392156862745098,2.5359477124183005,0.0021190767973856208,2.4832931219362745e-05,3.218997781183205e-08
153,-269.9999999999982,0,0.0,269.7324675324664,72755.98857142744,0.03896103896103896,2.5194805194805197,0.0021053165584415585,2.4671678419237012e-05,3.1980951981885094e-08
154,-269.9999999999982,0,0.0,269.7341935483859,72756.91767741821,0.03870967741935484,2.503225806451613,0.002091733870967742,2.4512506300403226e-05,3.177462325942132e-08
155,-269.9999999999982,0,0.0,269.7358974358963,72757.83487179373,0.038461538461538464,2.4871794871794872,0.0020783253205128205,2.4355374849759617e-05,3.157093977698913e-08
156,-269.9999999999982,0,0.0,269.73757961783326,72758.74038216445,0.03821656050955414,2.4713375796178343,0.0020650875796178344,2.4200245073646498e-05,3.136985098860066e-08
157,-269.9999999999982,0,0.0,269.739240506328,72759.63443037859,0.0379746835443038,2.4556962025316458,0.0020520174050632912,2.4047078965585442e-05,3.1171307627913316e-08
158,-269.9999999999982,0,0.0,269.7408805031435,72760.51723270325,0.03773584905660377,2.440251572327044,0.0020391116352201258,2.389583947523585e-05,3.097526166798934e-08
159,-269.9999999999982,0,0.0,269.74249999999887,72761.38899999883,0.0375,2.425,0.0020263671875,2.3746490478515624e-05,3.0781666282564404e-08
160,-269.9999999999982,0,0.0,269.7440993788809,72762.24993788703,0.037267080745341616,2.409937888198758,0.002013781055900621,2.3598996748835403e-05,3.059047580875965e-08
161,-269.1999999999982,-4,0.0078125,269.7407407407396,72760.43753086303,0.012345679012345678,2.493827160493827,0.0020495756172839506,2.383008415316358e-05,3.0424641330301025e-08
162,-269.9999999999982,0,0.0,269.7423312883424,72761.29374233012,0.012269938650306749,2.478527607361963,0.0020370015337423312,2.3683887317868097e-05,3.0237987089010836e-08
163,-269.9999999999982,0,0.0,269.74390243902326,72762.13951219394,0.012195121951219513,2.4634146341463414,0.002024580792682927,2.3539473370807927e-05,3.0053609118955894e-08
164,-269.5999999999982,2,0.00390625,269.7430303030292,72761.66690908973,0.024242424242424242,2.4727272727272727,0.0020359848484848486,2.348928740530303e-05,2.987287712819649e-08
165,-269.5999999999982,-2,0.00390625,269.74216867469767,72761.19999999882,0.012048192771084338,2.4819277108433737,0.0020472515060240963,2.343970608998494e-05,2.969432263130165e-08
166,-269.9999999999982,0,0.0,269.7437125748492,72762.03113772336,0.011976047904191617,2.467065868263473,0.00203499251497006,2.3299348568488023e-05,2.9516512316144154e-08
